Fecha,PN37692AQ
1979-01-01,34513.51637
1979-04-01,40882.00851
1979-07-01,40670.62263
1979-10-01,42183.24516
1980-01-01,36357.47781
1980-04-01,43102.11021
1980-07-01,42344.48292
1980-10-01,45791.92906
1981-01-01,39025.87453
1981-04-01,45857.88601
1981-07-01,45002.69018
1981-10-01,47014.54928
1982-01-01,40474.84753
1982-04-01,46211.08833
1982-07-01,43888.79799
1982-10-01,45932.26615
1983-01-01,36438.08908
1983-04-01,41011.22363
1983-07-01,39106.78551
1983-10-01,41579.90179
1984-01-01,35508.36476
1984-04-01,41849.25177
1984-07-01,41510.75442
1984-10-01,44973.62904
1985-01-01,39428.50939
1985-04-01,43937.53012
1985-07-01,40849.14667
1985-10-01,43003.81382
1986-01-01,38202.40576
1986-04-01,46949.84311
1986-07-01,47017.47616
1986-10-01,50811.27497
1987-01-01,44533.39447
1987-04-01,51060.13702
1987-07-01,51599.53084
1987-10-01,53584.93768
1988-01-01,43968.84792
1988-04-01,49303.01581
1988-07-01,46027.2197
1988-10-01,42522.91657
1989-01-01,35208.32194
1989-04-01,39867.60242
1989-07-01,40356.29678
1989-10-01,44003.77886
1990-01-01,40440.50827
1990-04-01,40316.93567
1990-07-01,33934.51065
1990-10-01,36800.04541
1991-01-01,36289.65666
1991-04-01,40194.36571
1991-07-01,39444.32862
1991-10-01,38925.64901
1992-01-01,38553.88552
1992-04-01,39420.09794
1992-07-01,36833.07099
1992-10-01,39209.94555
1993-01-01,38458.77143
1993-04-01,41646.56719
1993-07-01,40683.66624
1993-10-01,41303.99513
1994-01-01,43373.67741
1994-04-01,46709.94895
1994-07-01,45094.06491
1994-10-01,46865.98004
1995-01-01,47280.46876
1995-04-01,50715.53423
1995-07-01,48795.67526
1995-10-01,48744.31318
1996-01-01,47884.62544
1996-04-01,51913.68028
1996-07-01,50072.60079
1996-10-01,51138.38322
1997-01-01,50364.87147
1997-04-01,56186.46758
1997-07-01,53279.58255
1997-10-01,54197.36979
1998-01-01,51486.87629
1998-04-01,54478.79318
1998-07-01,53514.84555
1998-10-01,53709.47838
1999-01-01,51214.63364
1999-04-01,55517.78101
1999-07-01,53196.08981
1999-10-01,56448.23617
2000-01-01,54674.82238
2000-04-01,58255.55071
2000-07-01,54621.75114
2000-10-01,54654.58313
2001-01-01,51760.36698
2001-04-01,58431.06409
2001-07-01,56119.64731
2001-10-01,57268.49737
2002-01-01,55137.7412
2002-04-01,62307.22678
2002-07-01,58404.35447
2002-10-01,59923.62468
2003-01-01,58249.27014
2003-04-01,65202.48811
2003-07-01,60551.68347
2003-10-01,61589.17203
2004-01-01,60913.81557
2004-04-01,67639.71287
2004-07-01,63145.75285
2004-10-01,66070.50494
2005-01-01,64340.88941
2005-04-01,71310.36762
2005-07-01,67229.82619
2005-10-01,71090.07067
2006-01-01,69670.76407
2006-04-01,75823.93549
2006-07-01,72806.26906
2006-10-01,76296.86218
2007-01-01,73354.118
2007-04-01,80625.953
2007-07-01,80699.632
2007-10-01,85013.297
2008-01-01,80796.317
2008-04-01,89117.714
2008-07-01,88430.241
2008-10-01,90525.728
2009-01-01,82892.21
2009-04-01,88463.962
2009-07-01,88341.329
2009-10-01,92995.499
2010-01-01,87578.68823
2010-04-01,96843.87927
2010-07-01,96741.94473
2010-10-01,100904.5203
2011-01-01,94947.56358
2011-04-01,101962.2836
2011-07-01,102364.2899
2011-10-01,106972.6143
2012-01-01,100749.4441
2012-04-01,107971.5845
2012-07-01,109550.8284
2012-10-01,112917.5816
2013-01-01,105765.241
2013-04-01,114735.405
2013-07-01,115276.7231
2013-10-01,120645.6741
2014-01-01,111006.157
2014-04-01,116983.3343
2014-07-01,117378.2642
2014-10-01,121935.1842
2015-01-01,113149.4204
2015-04-01,120698.8617
2015-07-01,121082.486
2015-10-01,127564.6159
2016-01-01,118217.2456
2016-04-01,125207.2103
2016-07-01,126666.4962
2016-10-01,131480.708
2017-01-01,120917.3585
2017-04-01,128522.9116
2017-07-01,130231.5517
2017-10-01,134533.2771
2018-01-01,124747.1068
2018-04-01,135716.3803
2018-07-01,133407.825
2018-10-01,140744.5033
2019-01-01,127738.7685
2019-04-01,137275.801
2019-07-01,137929.7079
2019-10-01,143649.1768
2020-01-01,123183.4866
2020-04-01,96028.49683
2020-07-01,125946.3662
2020-10-01,141650.8037
2021-01-01,128358.6383
2021-04-01,136392.8938
2021-07-01,140657.1136
2021-10-01,146471.5081
2022-01-01,133370.9064
2022-04-01,141053.9771
2022-07-01,143539.9634
2022-10-01,149423.0961
2023-01-01,133191.1972
2023-04-01,140402.0538
2023-07-01,142558.2467
2023-10-01,148949.1993
2024-01-01,135031.4927
2024-04-01,145552.0287
2024-10-01,148095.3238
2025-01-01,155250.4589
2025-04-01,140325.3633
