Ubigeo,Distrito,Población total,Densidad,Altitud,Número de Centros Poblados,País fronterizo,Índice de Vulnerabilidad a la Inseguridad Alimentaria,Cámara de comercio,Índice de Desarrollo Humano,Porcentaje de la población en pobreza total,Porcentaje de Población Ocupada,"Devengado per cápita en soles (2020) - Actividad
19/","Devengado per cápita en soles (2020) - Inversión
19/"
010202,ARAMANGO,12449,15.32129482,502,87,0,0.657975674,0,0.361182153,38.525807,28.66963929,273.7898483,372.7945894
010201,BAGUA,25984,181.6212994,408,24,0,0.233058214,1,0.584063034,16.212835,45.84861904,3978.526911,1089.854262
010203,COPALLÍN,6736,57.48611812,693,31,0,0.497964084,0,0.467245208,24.530258,25.25053052,447.7540639,4689.310687
010204,EL PARCO,1376,93.01948052,626,9,0,0.551598132,0,0.489048641,35.249588,26.90823548,509.3472426,1474.730733
010205,IMAZA,23109,9.245199556,317,159,1,0.684308529,0,0.298089241,53.94969,29.83290519,2693.190003,220.0472512
010206,LA PECA a/,7983,68.70885023,892,35,0,0.473127365,0,0.490583796,34.761666,30.55061546,768.8764172,142.6957585
010302,CHISQUILLA,369,3.006401463,2057,35,0,0.511480987,0,0.474974891,42.24183,39.83003825,1778.323821,178.4249049
010303,CHURUJA,302,11.45770846,1399,8,0,0.388458788,0,0.515913557,20.78695,40.83209496,1866.534346,7316.193246
010304,COROSHA,762,21.69914605,2297,19,0,0.570774436,0,0.395898213,54.796368,44.94823713,1039.656024,577.4682745
010305,CUISPES,863,7.469291908,1912,23,0,0.63277173,0,0.299445066,45.831589,34.52689142,1046.435091,215.1426844
010306,FLORIDA,6641,31.88662533,2251,42,0,0.498434186,0,0.359323571,33.682214,37.16408222,299.5315926,1969.657198
010307,JAZAN,8981,94.46133063,1342,26,0,0.27520889,0,0.511258095,22.712901,41.50881418,400.0640865,367.5635884
010301,JUMBILLA,1691,7.867427682,2081,30,0,0.352686524,0,0.451394193,29.547678,38.22232358,2814.43906,3789.35789
010308,RECTA,252,13.87306753,2166,11,0,0.661752343,0,0.324005335,38.690705,40.40641155,3602.201642,1306.673226
010309,SAN CARLOS,400,5.11115522,1942,18,0,0.611126542,0,0.348034094,28.9591,67.2464214,2603.864796,7990.627592
010310,SHIPASBAMBA,1449,14.42375678,1668,13,0,0.575265408,0,0.365002151,35.863148,44.70686703,469.2243192,212.2518301
010311,VALERA,1370,12.29199024,1928,16,0,0.4320364,0,0.400635113,20.78695,31.69732739,847.4174458,212.850352
010312,YAMBRASBAMBA,6472,3.919089023,1887,50,0,0.631112099,0,0.352290053,43.859279,31.00515322,713.7478112,440.3726007
010102,ASUNCIÓN,308,13.96343835,2823,9,0,0.558548808,0,0.423031925,36.519949,31.80384334,2392.595487,416.2971031
010103,BALSAS,1513,4.046598897,859,27,0,0.646749496,0,0.315308421,45.732962,32.05213038,1382.164851,27.1550173
010101,CHACHAPOYAS,25689,201.437118,2338,27,0,0.279656827,0,0.642360594,9.034625,62.00015887,10596.78024,1703.250546
010104,CHETO,631,13.56854485,2143,13,0,0.530846059,0,0.345745782,39.169782,54.81987684,1707.278176,3506.222354
010105,CHILIQUÍN,930,6.832601269,2677,37,0,0.706854224,0,0.275037799,53.045662,35.86498992,2921.026112,694.2035204
010106,CHUQUIBAMBA,2252,7.913720705,2803,39,0,0.699132204,0,0.269269729,51.607832,27.58105528,1045.508585,980.9797188
010107,GRANADA,463,3.153078662,3041,12,0,0.617030621,0,0.358001458,43.865957,45.69957354,1247.063934,2238.335979
010108,HUANCAS,872,10.80139373,2591,5,0,0.479354858,0,0.414755647,31.977312,39.11054961,6046.681898,819.7609488
010109,LA JALCA,5782,16.05983333,2869,168,0,0.636790216,0,0.295184438,47.947723,31.79007261,772.5799722,611.6096726
010110,LEIMEBAMBA,4244,9.755051723,2226,68,0,0.44064182,0,0.398950921,25.741684,33.68368873,486.5966978,377.7639863
010111,LEVANTO,1028,14.72788238,2681,27,0,0.544558167,0,0.324295308,41.081444,35.52152673,664.8835639,950.9214799
010112,MAGDALENA,957,7.21192884,1892,37,0,0.429324865,0,0.473769772,30.634088,36.15334165,1462.770461,897.2855783
010113,MARISCAL CASTILLA,1233,12.96960995,2210,69,0,0.439787209,0,0.446101217,39.230882,41.00490366,550.4307934,1576.067906
010114,MOLINOPAMPA,2716,7.868567663,2405,27,0,0.539001107,0,0.380907159,35.654304,34.79465151,640.355177,2134.345215
010115,MONTEVIDEO,754,6.377615326,2421,17,0,0.438624799,0,0.447630676,38.644489,23.50191512,1382.216943,251.6694466
010116,OLLEROS,382,3.755193353,3053,10,0,0.587108672,0,0.364667298,47.9082,51.41691831,1163.649128,2889.391745
010117,QUINJALCA,1015,11.16934163,3151,34,0,0.687150121,0,0.341954115,47.119202,34.38387334,1002.154868,3315.010186
010118,SAN FRANCISCO DE DAGUAS,333,7.382408775,2254,14,0,0.397033513,0,0.489705576,29.704094,42.98422365,1872.029114,883.7368571
010119,SAN ISIDRO DE MAINO,749,6.973541851,2339,81,0,0.597339869,0,0.321841647,43.370115,32.16446409,888.0283075,13582.21621
010120,SOLOCO,1539,19.62594697,2387,13,0,0.588457167,0,0.344628159,41.062364,34.91530138,1765.219481,242.724807
010121,SONCHE,247,3.416916829,2089,11,0,0.644582868,0,0.372094482,55.850202,53.46425965,3447.177778,2712.432481
010402,EL CENEPA,9188,3.312643813,253,72,1,0.737567723,0,0.222500134,62.912381,20.59930191,885.9081562,432.6664257
010401,NIEVA,23826,8.402969455,189,131,0,0.637031615,0,0.294015899,51.406262,20.63077664,1521.803903,641.6466332
010403,RÍO SANTIAGO,13506,2.507317729,190,68,1,0.68657583,0,0.189784606,59.872335,12.99411906,868.2708388,560.6002526
010502,CAMPORREDONDO,6538,18.20696258,1748,38,0,0.56832397,0,0.341756562,50.206718,37.06540441,583.7409524,354.2517163
010503,COCABAMBA,2423,6.536461992,2273,83,0,0.737177849,0,0.254097429,55.979223,25.31758138,1089.867747,1150.940942
010504,COLCAMAR,2601,21.49155722,2355,16,0,0.572113931,0,0.272209258,42.320492,26.52365912,797.3546792,616.3535574
010505,CONILA,2202,8.115704415,2767,21,0,0.559905171,0,0.338649207,49.642272,32.0840894,806.5818903,218.1002116
010506,INGUILPATA,757,5.066079295,2380,20,0,0.606903911,0,0.34961329,40.196248,24.54814147,1319.974097,743.4911873
010501,LÁMUD,2510,31.97582386,2328,29,0,0.336401224,0,0.485915285,30.951386,35.02105377,3429.445743,5874.600599
010507,LONGUITA,1019,18.73596961,2799,14,0,0.656906128,0,0.262887743,56.751291,31.53371555,2029.464774,1043.697106
010508,LONYA CHICO,1143,12.16893343,2329,10,0,0.618362069,0,0.338262271,46.699525,25.93761112,1888.520824,1513.075902
010509,LUYA,4488,45.65288894,2359,16,0,0.399697781,0,0.394116516,30.284501,33.90784507,967.452476,142.109755
010510,LUYA VIEJO,445,6.633274672,2924,1,0,0.62878263,0,0.30941767,54.438368,23.68806544,2249.544673,3665.155102
010511,MARÍA,926,12.81923508,2757,18,0,0.617673159,0,0.28214384,51.870194,33.8333354,530.3272983,2415.132857
010512,OCALLI,3911,19.6234286,1757,54,0,0.583535671,0,0.327352606,45.39658,34.05668871,492.8204051,1849.358457
010513,OCUMAL,4093,16.8404986,1898,32,0,0.686830938,0,0.285337405,52.242779,28.70065182,637.2417976,415.4204532
010514,PISUQUIA,5875,19.09298532,2049,83,0,0.666196644,0,0.380224973,58.528572,27.59468418,925.1934723,1812.198932
