Año,Sexo,Edad,Población
1950,F,0,155104
1950,F,1,134272
1950,F,2,124742
1950,F,3,117937
1950,F,4,112426
1950,F,5,108369
1950,F,6,103916
1950,F,7,100239
1950,F,8,97214
1950,F,9,94717
1950,F,10,92729
1950,F,11,91228
1950,F,12,89573
1950,F,13,87434
1950,F,14,84997
1950,F,15,82815
1950,F,16,80821
1950,F,17,78610
1950,F,18,76053
1950,F,19,73294
1950,F,20,70599
1950,F,21,67896
1950,F,22,65419
1950,F,23,63304
1950,F,24,61436
1950,F,25,59590
1950,F,26,57846
1950,F,27,56014
1950,F,28,53989
1950,F,29,51891
1950,F,30,49904
1950,F,31,47943
1950,F,32,46344
1950,F,33,45278
1950,F,34,44563
1950,F,35,43845
1950,F,36,43191
1950,F,37,42445
1950,F,38,41492
1950,F,39,40405
1950,F,40,39394
1950,F,41,38454
1950,F,42,37385
1950,F,43,36118
1950,F,44,34746
1950,F,45,33395
1950,F,46,31999
1950,F,47,30871
1950,F,48,30167
1950,F,49,29726
1950,F,50,29243
1950,F,51,28795
1950,F,52,28170
1950,F,53,27236
1950,F,54,26103
1950,F,55,25007
1950,F,56,23894
1950,F,57,22827
1950,F,58,21858
1950,F,59,20941
1950,F,60,20005
1950,F,61,19094
1950,F,62,18072
1950,F,63,16874
1950,F,64,15585
1950,F,65,14325
1950,F,66,13046
1950,F,67,11981
1950,F,68,11253
1950,F,69,10740
1950,F,70,10215
1950,F,71,9744
1950,F,72,9150
1950,F,73,8329
1950,F,74,7377
1950,F,75,6492
1950,F,76,5633
1950,F,77,4860
1950,F,78,4224
1950,F,79,3689
1950,F,80,14936
1951,F,0,162797
1951,F,1,141256
1951,F,2,131050
1951,F,3,123406
1951,F,4,116925
1951,F,5,110954
1951,F,6,105885
1951,F,7,101790
1951,F,8,98517
1951,F,9,95918
1951,F,10,93956
1951,F,11,92602
1951,F,12,91114
1951,F,13,89105
1951,F,14,86778
1951,F,15,84753
1951,F,16,82944
1951,F,17,80884
1951,F,18,78417
1951,F,19,75697
1951,F,20,73047
1951,F,21,70414
1951,F,22,67871
1951,F,23,65491
1951,F,24,63241
1951,F,25,61014
1951,F,26,58831
1951,F,27,56766
1951,F,28,54847
1951,F,29,53055
1951,F,30,51342
1951,F,31,49714
1951,F,32,48198
1951,F,33,46803
1951,F,34,45517
1951,F,35,44288
1951,F,36,43088
1951,F,37,42059
1951,F,38,41252
1951,F,39,40581
1951,F,40,39929
1951,F,41,39357
1951,F,42,38554
