AÑO,METAL,UDM,ETAPA,PROCESO,ESTRATO,TITULAR,UNIDAD,REGIÓN,PROVINCIA,DISTRITO,MES_1,MES_2,MES_3,MES_4,MES_5,MES_6,MES_7,MES_8,MES_9,MES_10,MES_11,MES_12
2001,Cadmio,TMF,Refinación,,GRAN Y MEDIANA MINERÍA,DOE RUN PERU S.R.LTDA.,C.M.LA OROYA-REFINACION 1 Y 2,JUNIN,YAULI,LA OROYA,13.9986,13.49865,14.19858,14.29857,14.49855,13.79862,12,14.9985,14.9985,13.9986,14.19858,14.59854
2001,Cadmio,TMF,Refinación,,GRAN Y MEDIANA MINERÍA,SOC.MRA.REFINERIA DE ZINC DE CAJAMARQUILLA S.A.,REF.CAJAMARQUILLA,LIMA,LIMA,LURIGANCHO,25.9974,20.9979,25.9974,25.9974,19.998,14.9985,37.9962,28.9971,27.9972,28.9971,29.997,27.9972
2001,Cobre,TMF,CONCENTRACIÓN,FLOTACIÓN,GRAN Y MEDIANA MINERÍA,SOUTHERN PERU COPPER CORPORATION SUCURSAL DEL PERU,CUAJONE,MOQUEGUA,MARISCAL NIETO,TORATA,15446.80449,10624.94312,13750.39055,13372.6925,13273.61872,12137.61575,13726.30621,13485.99637,13685.9413,14820.9546,14933.898,15879.4229
2001,Cobre,TMF,CONCENTRACIÓN,FLOTACIÓN,GRAN Y MEDIANA MINERÍA,SOUTHERN PERU COPPER CORPORATION SUCURSAL DEL PERU,TOQUEPALA,TACNA,JORGE BASADRE,ILABAYA,9406.525069,8252.035314,7837.477724,7570.623819,9505.957175,9210.113126,9730.696091,11285.76912,11482.9913,13006.2019,12992.3982,12105.7455
2001,Cobre,TMF,CONCENTRACIÓN,FLOTACIÓN,GRAN Y MEDIANA MINERÍA,CIA.MRA.ANTAMINA S.A.,ANTAMINA,ANCASH,HUARI,SAN MARCOS,0,0,0,0,0,0,26506.99998,22725.9927,30044.44,31374.418,11391.0649,39904.3227
2001,Cobre,TMF,CONCENTRACIÓN,FLOTACIÓN,GRAN Y MEDIANA MINERÍA,BHP BILLITON TINTAYA S.A.,TINTAYA,CUSCO,ESPINAR,ESPINAR,6264.825168,4914.108564,7856.68108,7321.975752,6759.983445,6687.914524,6744.086792,7007.35071,7933.930816,7627.798042,7897.522804,8167.417013
2001,Cobre,TMF,CONCENTRACIÓN,FLOTACIÓN,GRAN Y MEDIANA MINERÍA,DOE RUN PERU S.R.LTDA.,COBRIZA,HUANCAVELICA,CHURCAMPA,SAN PEDRO DE CORIS,1333.7856,1240.6293,1290.816,1366.7212,1419.7806,1426.0167,1354.0034,1360.2384,1296.416,1447.9917,1451.1087,1521.0046
2001,Cobre,TMF,CONCENTRACIÓN,FLOTACIÓN,GRAN Y MEDIANA MINERÍA,VOLCAN CIA.MINERA S.A.A.,SAN CRISTOBAL,JUNIN,YAULI,YAULI,277.9519,231.0412,309.1414,215.0182,249.415,193.3514,187.3563,197.4678,171.9416,221.048404,201.71,151.9846
2001,Cobre,TMF,CONCENTRACIÓN,FLOTACIÓN,GRAN Y MEDIANA MINERÍA,VOLCAN CIA.MINERA S.A.A.,TICLIO,JUNIN,YAULI,YAULI,9.12,9.8632,5.735,8.897,11.6108,14.1064,10.0237,10.33,15.4771,15.9626,18.394513,14.4198
2001,Cobre,TMF,CONCENTRACIÓN,FLOTACIÓN,GRAN Y MEDIANA MINERÍA,VOLCAN CIA.MINERA S.A.A.,ANDAYCHAGUA,JUNIN,YAULI,SUITUCANCHA,0,0,0.262,0,0,1.6604,1.708,4.2534,6.7168,9.8426,4.2849,30.5408
