Oficina de Control Migratorio,País,Año,Mes,Valor
Otras Oficinas Migratorias,BOLIVIA,2021,4,0
Otras Oficinas Migratorias,BOLIVIA,2021,8,0
Otras Oficinas Migratorias,BOLIVIA,2021,12,0
Otras Oficinas Migratorias,BOLIVIA,2021,1,0
Otras Oficinas Migratorias,BOLIVIA,2021,2,0
Otras Oficinas Migratorias,BOLIVIA,2021,7,0
Otras Oficinas Migratorias,BOLIVIA,2021,6,0
Otras Oficinas Migratorias,BOLIVIA,2021,3,0
Otras Oficinas Migratorias,BOLIVIA,2021,5,0
Otras Oficinas Migratorias,BOLIVIA,2021,11,0
Otras Oficinas Migratorias,BOLIVIA,2021,10,0
Otras Oficinas Migratorias,BOLIVIA,2021,9,0
Otras Oficinas Migratorias,BOLIVIA,2022,4,168
Otras Oficinas Migratorias,BOLIVIA,2022,8,460
Otras Oficinas Migratorias,BOLIVIA,2022,12,685
Otras Oficinas Migratorias,BOLIVIA,2022,1,0
Otras Oficinas Migratorias,BOLIVIA,2022,2,54
Otras Oficinas Migratorias,BOLIVIA,2022,7,935
Otras Oficinas Migratorias,BOLIVIA,2022,6,433
Otras Oficinas Migratorias,BOLIVIA,2022,3,164
Otras Oficinas Migratorias,BOLIVIA,2022,5,158
Otras Oficinas Migratorias,BOLIVIA,2022,11,525
Otras Oficinas Migratorias,BOLIVIA,2022,10,533
Otras Oficinas Migratorias,BOLIVIA,2022,9,447
Otras Oficinas Migratorias,BOLIVIA,2023,4,408
Otras Oficinas Migratorias,BOLIVIA,2023,8,469
Otras Oficinas Migratorias,BOLIVIA,2023,12,1296
Otras Oficinas Migratorias,BOLIVIA,2023,1,97
Otras Oficinas Migratorias,BOLIVIA,2023,2,152
Otras Oficinas Migratorias,BOLIVIA,2023,7,739
Otras Oficinas Migratorias,BOLIVIA,2023,6,634
Otras Oficinas Migratorias,BOLIVIA,2023,3,393
Otras Oficinas Migratorias,BOLIVIA,2023,5,333
Otras Oficinas Migratorias,BOLIVIA,2023,11,525
Otras Oficinas Migratorias,BOLIVIA,2023,10,491
Otras Oficinas Migratorias,BOLIVIA,2023,9,413
Otras Oficinas Migratorias,BOLIVIA,2024,4,461
Otras Oficinas Migratorias,BOLIVIA,2024,8,575
Otras Oficinas Migratorias,BOLIVIA,2024,12,1335
Otras Oficinas Migratorias,BOLIVIA,2024,1,1003
Otras Oficinas Migratorias,BOLIVIA,2024,2,587
Otras Oficinas Migratorias,BOLIVIA,2024,7,852
Otras Oficinas Migratorias,BOLIVIA,2024,6,749
Otras Oficinas Migratorias,BOLIVIA,2024,3,508
Otras Oficinas Migratorias,BOLIVIA,2024,5,506
Otras Oficinas Migratorias,BOLIVIA,2024,11,588
Otras Oficinas Migratorias,BOLIVIA,2024,10,645
Otras Oficinas Migratorias,BOLIVIA,2024,9,780
Otras Oficinas Migratorias,BOLIVIA,2025,4,645
Otras Oficinas Migratorias,BOLIVIA,2025,8,
Otras Oficinas Migratorias,BOLIVIA,2025,12,
Otras Oficinas Migratorias,BOLIVIA,2025,1,996
Otras Oficinas Migratorias,BOLIVIA,2025,2,621
Otras Oficinas Migratorias,BOLIVIA,2025,7,
Otras Oficinas Migratorias,BOLIVIA,2025,6,782
Otras Oficinas Migratorias,BOLIVIA,2025,3,651
Otras Oficinas Migratorias,BOLIVIA,2025,5,627
Otras Oficinas Migratorias,BOLIVIA,2025,11,
Otras Oficinas Migratorias,BOLIVIA,2025,10,
Otras Oficinas Migratorias,BOLIVIA,2025,9,
Aeropuerto Internacional Jorge Chávez,BOLIVIA,2020,4,0
Aeropuerto Internacional Jorge Chávez,BOLIVIA,2020,8,0
Aeropuerto Internacional Jorge Chávez,BOLIVIA,2020,12,527
Aeropuerto Internacional Jorge Chávez,BOLIVIA,2020,1,2221
Aeropuerto Internacional Jorge Chávez,BOLIVIA,2020,2,1715
Aeropuerto Internacional Jorge Chávez,BOLIVIA,2020,7,0
Aeropuerto Internacional Jorge Chávez,BOLIVIA,2020,6,0
Aeropuerto Internacional Jorge Chávez,BOLIVIA,2020,3,712
Aeropuerto Internacional Jorge Chávez,BOLIVIA,2020,5,0
Aeropuerto Internacional Jorge Chávez,BOLIVIA,2020,11,207
Aeropuerto Internacional Jorge Chávez,BOLIVIA,2020,10,131
Aeropuerto Internacional Jorge Chávez,BOLIVIA,2020,9,0
Aeropuerto Internacional Jorge Chávez,BOLIVIA,2021,4,254
Aeropuerto Internacional Jorge Chávez,BOLIVIA,2021,8,432
Aeropuerto Internacional Jorge Chávez,BOLIVIA,2021,12,619
Aeropuerto Internacional Jorge Chávez,BOLIVIA,2021,1,116
Aeropuerto Internacional Jorge Chávez,BOLIVIA,2021,2,43
Aeropuerto Internacional Jorge Chávez,BOLIVIA,2021,7,324
Aeropuerto Internacional Jorge Chávez,BOLIVIA,2021,6,258
Aeropuerto Internacional Jorge Chávez,BOLIVIA,2021,3,166
Otras Oficinas Migratorias,ECUADOR,2024,2,2474
Otras Oficinas Migratorias,ECUADOR,2024,7,2988
Otras Oficinas Migratorias,ECUADOR,2024,6,1981
Otras Oficinas Migratorias,ECUADOR,2024,3,2706
Otras Oficinas Migratorias,ECUADOR,2024,5,2367
Otras Oficinas Migratorias,ECUADOR,2024,11,2965
Otras Oficinas Migratorias,ECUADOR,2024,10,2749
Otras Oficinas Migratorias,ECUADOR,2024,9,2068
Otras Oficinas Migratorias,ECUADOR,2025,4,2275
Otras Oficinas Migratorias,ECUADOR,2025,8,
Otras Oficinas Migratorias,ECUADOR,2025,12,
Otras Oficinas Migratorias,ECUADOR,2025,1,2298
